rank,prev_rank,name,league,off,def,spi
1,1,Manchester City,Barclays Premier League,3.03,0.27,93.45
2,2,Liverpool,Barclays Premier League,2.9,0.24,93.26
3,3,Bayern Munich,German Bundesliga,3.41,0.59,91.63
4,4,Chelsea,Barclays Premier League,2.45,0.33,88.35
5,5,Paris Saint Germain,French Ligue 1,2.79,0.65,85.82
6,6,Real Madrid,Spanish Primera Division,2.73,0.64,85.5
7,7,Ajax,Dutch Eredivisie,3.05,0.88,84.56
8,8,Barcelona,Spanish Primera Division,2.37,0.5,84.32
9,9,Tottenham,Barclays Premier League,2.45,0.56,84.1
10,10,Inter,Italy Serie A,2.53,0.71,82.1
11,11,RasenBallsport Leipzig,German Bundesliga,2.45,0.67,81.83
12,12,FC Porto,Portuguese Liga,2.33,0.6,81.6
13,13,FC Salzburg,Austrian T-Mobile Bundesliga,2.46,0.69,81.54
14,14,Borussia Dortmund,German Bundesliga,2.6,0.8,81.09
15,15,Atletico Madrid,Spanish Primera Division,2.01,0.47,80.37
16,16,Arsenal,Barclays Premier League,2.2,0.59,80.18
17,17,Villarreal,Spanish Primera Division,2.25,0.63,80.05
18,18,Brighton,Barclays Premier League,2.08,0.52,80.03
19,19,AC Milan,Italy Serie A,2.11,0.54,80.03
20,20,Sporting CP,Portuguese Liga,2.17,0.59,79.84
21,21,Bayer Leverkusen,German Bundesliga,2.34,0.8,77.76
22,22,Napoli,Italy Serie A,2.18,0.73,76.96
23,23,Real Sociedad,Spanish Primera Division,1.91,0.55,76.87
24,24,Atalanta,Italy Serie A,2.28,0.81,76.54
25,25,Crystal Palace,Barclays Premier League,1.88,0.55,76.48
26,26,Aston Villa,Barclays Premier League,2.02,0.65,76.22
27,27,Athletic Club,Spanish Primera Division,1.88,0.56,76.17
28,28,Roma,Italy Serie A,1.93,0.6,75.94
29,29,Benfica,Portuguese Liga,2.16,0.79,75.32
30,30,Feyenoord,Dutch Eredivisie,2.35,0.93,75.13
31,31,Union Berlin,German Bundesliga,2,0.69,74.94
32,32,Manchester United,Barclays Premier League,2.07,0.75,74.67
33,33,Celta Vigo,Spanish Primera Division,1.85,0.63,74.06
34,34,Real Betis,Spanish Primera Division,1.88,0.68,73.36
35,35,Lazio,Italy Serie A,2.22,0.92,73.27
36,36,Sevilla,Spanish Primera Division,1.74,0.58,73.15
37,37,West Ham,Barclays Premier League,1.98,0.76,73.02
38,38,Monaco,French Ligue 1,2.08,0.84,72.95
39,39,Mainz 05,German Bundesliga,2.06,0.84,72.55
40,40,Celtic,Scottish Premiership,2.2,0.95,72.43
41,41,Brentford,Barclays Premier League,1.99,0.79,72.4
42,42,Fiorentina,Italy Serie A,1.95,0.77,72.18
43,43,Lyon,French Ligue 1,2.24,0.99,72.04
44,44,Rennes,French Ligue 1,2.04,0.86,71.73
45,45,Newcastle United,Barclays Premier League,1.84,0.71,71.71
46,46,Borussia M.Gladbach,German Bundesliga,2.3,1.07,71.33
47,47,Leicester,Barclays Premier League,1.98,0.83,71.31
48,48,Strasbourg,French Ligue 1,1.84,0.75,70.84
49,49,PSV,Dutch Eredivisie,2.36,1.14,70.81
50,50,Zenit St Petersburg,Russian Premier Liga,1.99,0.87,70.6
51,51,FC Cologne,German Bundesliga,2.04,0.91,70.45
52,52,Freiburg,German Bundesliga,2.14,1,70.26
53,53,Rangers,Scottish Premiership,2.03,0.91,70.25
54,54,Marseille,French Ligue 1,1.8,0.75,70.22
55,55,Wolverhampton Wanderers,Barclays Premier League,1.78,0.76,69.58
56,56,Lille,French Ligue 1,1.71,0.7,69.53
57,57,Wolfsburg,German Bundesliga,1.96,0.91,69.11
58,58,Valencia,Spanish Primera Division,1.7,0.72,68.99
59,59,Getafe,Spanish Primera Division,1.5,0.58,68.74
60,60,Eintracht Frankfurt,German Bundesliga,1.88,0.87,68.66
61,61,Juventus,Italy Serie A,1.89,0.88,68.42
62,62,Torino,Italy Serie A,1.72,0.77,67.89
63,63,Hoffenheim,German Bundesliga,2.17,1.14,67.7
64,64,Rayo Vallecano,Spanish Primera Division,1.71,0.79,67.4
65,65,Lens,French Ligue 1,1.76,0.85,66.76
66,66,Osasuna,Spanish Primera Division,1.65,0.78,66.57
67,67,Cadiz,Spanish Primera Division,1.71,0.84,66.06
68,68,Verona,Italy Serie A,1.88,0.98,66.06
69,69,Club Brugge,Belgian Jupiler League,1.96,1.04,66.04
70,70,VfB Stuttgart,German Bundesliga,1.94,1.03,65.96
71,71,FC Twente,Dutch Eredivisie,1.82,0.95,65.59
72,72,Dinamo Zagreb,UEFA Europa League,1.83,0.98,64.93
73,73,Slavia Prague,UEFA Europa Conference League,1.9,1.07,64.29
74,74,Levante,Spanish Primera Division,1.99,1.16,64.13
75,75,Fulham,English League Championship,1.81,1,64.11
76,77,Burnley,Barclays Premier League,1.7,0.93,63.73
77,78,Shakhtar Donetsk,UEFA Champions League,1.96,1.14,63.71
78,79,Everton,Barclays Premier League,1.77,0.99,63.69
79,76,Palmeiras,Brasileiro Série A,1.67,0.91,63.46
80,80,AZ,Dutch Eredivisie,1.94,1.14,63.31
81,81,Nice,French Ligue 1,1.62,0.88,63.17
82,82,Leeds,Barclays Premier League,1.84,1.07,63.04
83,85,Monterrey,Mexican Primera Division Torneo Apertura,1.8,1.05,62.66
84,84,Bochum,German Bundesliga,1.8,1.05,62.65
85,83,Flamengo,Brasileiro Série A,1.61,0.91,62.29
86,86,Braga,Portuguese Liga,1.55,0.87,62.17
87,88,Tigres UANL,Mexican Primera Division Torneo Apertura,1.8,1.08,61.95
88,87,Southampton,Barclays Premier League,1.82,1.1,61.93
89,89,Fenerbahce,Turkish Turkcell Super Lig,1.8,1.09,61.72
90,90,Augsburg,German Bundesliga,1.79,1.09,61.45
91,91,Elche,Spanish Primera Division,1.62,0.95,61.39
92,92,KAA Gent,Belgian Jupiler League,1.55,0.89,61.35
93,93,River Plate,Argentina Primera Division,1.61,0.95,61.26
94,94,Sassuolo,Italy Serie A,2.05,1.35,61.05
95,95,Udinese,Italy Serie A,1.81,1.14,60.94
96,96,Olympiacos,Greek Super League,1.61,0.99,60.36
97,100,Club América,Mexican Primera Division Torneo Apertura,1.6,0.98,60.35
98,97,Anderlecht,Belgian Jupiler League,1.75,1.11,60.35
99,98,Espanyol,Spanish Primera Division,1.57,0.97,60.08
100,99,Nantes,French Ligue 1,1.65,1.04,59.95
101,101,Atletico Mineiro,Brasileiro Série A,1.55,0.95,59.95
102,102,Genk,Belgian Jupiler League,1.82,1.2,59.81
103,103,FC Copenhagen,Danish SAS-Ligaen,1.63,1.05,59.26
104,104,FC Utrecht,Dutch Eredivisie,1.86,1.26,59.12
105,105,Hertha Berlin,German Bundesliga,1.65,1.08,59.12
106,106,Sochi,Russian Premier Liga,1.61,1.04,59
107,107,AFC Bournemouth,English League Championship,1.56,1,58.93
108,108,Dynamo Kiev,UEFA Champions League,1.66,1.09,58.89
109,109,Mallorca,Spanish Primera Division,1.62,1.06,58.85
110,110,Bologna,Italy Serie A,1.66,1.1,58.64
111,111,Guimaraes,Portuguese Liga,1.54,1.01,58.1
112,112,FC Midtjylland,Danish SAS-Ligaen,1.8,1.26,57.91
113,113,Granada,Spanish Primera Division,1.65,1.14,57.66
114,122,Pachuca,Mexican Primera Division Torneo Apertura,1.62,1.12,57.41
115,114,São Paulo,Brasileiro Série A,1.36,0.89,57.13
116,115,Reims,French Ligue 1,1.43,0.95,57.12
117,116,Young Boys,Swiss Raiffeisen Super League,2.02,1.51,56.91
118,117,Union Saint Gilloise,Belgian Jupiler League,1.51,1.04,56.71
119,118,Nottingham Forest,English League Championship,1.45,0.99,56.51
120,119,Red Star Belgrade,UEFA Europa League,1.69,1.22,56.42
121,125,Internacional,Brasileiro Série A,1.51,1.06,56.28
122,123,Boca Juniors,Argentina Primera Division,1.39,0.96,55.99
123,120,Yokohama F. Marinos,Japanese J League,1.85,1.39,55.95
124,121,Fluminense,Brasileiro Série A,1.39,0.97,55.77
125,126,Alavés,Spanish Primera Division,1.54,1.12,55.62
126,127,Sampdoria,Italy Serie A,1.59,1.17,55.47
127,128,Trabzonspor,Turkish Turkcell Super Lig,1.61,1.19,55.41
128,129,Sheffield United,English League Championship,1.46,1.05,55.32
129,130,Watford,Barclays Premier League,1.59,1.18,55.31
130,131,Sparta Prague,UEFA Europa League,1.61,1.2,55.28
131,132,Angers,French Ligue 1,1.42,1.02,55.25
132,133,Vitesse,Dutch Eredivisie,1.62,1.22,54.99
133,142,New York City FC,Major League Soccer,1.74,1.35,54.61
134,124,Cruz Azul,Mexican Primera Division Torneo Apertura,1.48,1.11,54.45
135,134,Toulouse,French Ligue 2,1.65,1.28,54.41
136,135,CSKA Moscow,Russian Premier Liga,1.4,1.04,54.36
137,136,Ferencvaros,UEFA Europa League,1.62,1.25,54.15
138,145,Bodo/Glimt,Norwegian Tippeligaen,1.77,1.42,53.77
139,138,Troyes,French Ligue 1,1.39,1.05,53.7
140,139,Famalicao,Portuguese Liga,1.5,1.16,53.68
141,140,Gil Vicente,Portuguese Liga,1.46,1.13,53.53
142,141,FC Krasnodar,Russian Premier Liga,1.39,1.06,53.5
143,156,Bragantino,Brasileiro Série A,1.43,1.1,53.39
144,143,Genoa,Italy Serie A,1.41,1.09,53.37
145,137,Santos Laguna,Mexican Primera Division Torneo Apertura,1.58,1.28,52.81
146,144,Brest,French Ligue 1,1.54,1.24,52.81
147,146,Santos,Brasileiro Série A,1.31,1.02,52.53
148,147,Spartak Moscow,Russian Premier Liga,1.47,1.2,52.14
149,148,Clermont Foot,French Ligue 1,1.44,1.16,52.09
150,164,Molde,Norwegian Tippeligaen,1.75,1.48,51.99
151,150,Lorient,French Ligue 1,1.39,1.13,51.88
152,151,Basel,Swiss Raiffeisen Super League,1.62,1.35,51.8
153,152,Cagliari,Italy Serie A,1.52,1.26,51.71
154,153,Istanbul Basaksehir,Turkish Turkcell Super Lig,1.37,1.13,51.53
155,149,Los Angeles FC,Major League Soccer,1.66,1.41,51.46
156,154,SK Sturm Graz,Austrian T-Mobile Bundesliga,1.7,1.46,51.28
157,160,Corinthians,Brasileiro Série A,1.16,0.93,51.12
158,161,Atlas,Mexican Primera Division Torneo Apertura,1.41,1.18,51.1
159,157,Greuther Fuerth,German Bundesliga,1.42,1.2,51.04
160,158,FC Zurich,Swiss Raiffeisen Super League,1.74,1.52,50.72
161,159,Coventry City,English League Championship,1.5,1.29,50.59
162,162,West Bromwich Albion,English League Championship,1.25,1.05,50.42
163,202,Philadelphia Union,Major League Soccer,1.48,1.28,50.42
164,163,FK Partizan Belgrade,UEFA Europa Conference League,1.42,1.22,50.35
165,165,Maccabi Tel-Aviv,UEFA Europa Conference League,1.3,1.11,50.21
166,167,Atlético Paranaense,Brasileiro Série A,1.32,1.13,50.17
167,166,Empoli,Italy Serie A,1.63,1.45,50.16
168,155,Guadalajara,Mexican Primera Division Torneo Apertura,1.32,1.13,50.16
169,168,PAOK Salonika,Greek Super League,1.25,1.06,50.15
170,169,Panathinaikos,Greek Super League,1.14,0.95,49.89
171,170,Legia Warsaw,UEFA Europa League,1.43,1.26,49.78
172,171,Montpellier,French Ligue 1,1.44,1.27,49.58
173,172,Santa Clara,Portuguese Liga,1.29,1.13,49.53
174,173,Rapid Vienna,Austrian T-Mobile Bundesliga,1.46,1.29,49.51
175,174,Arminia Bielefeld,German Bundesliga,1.45,1.3,49.41
176,176,Ceará,Brasileiro Série A,1.21,1.05,49.39
177,175,Defensa y Justicia,Argentina Primera Division,1.34,1.19,49.27
178,199,Kawasaki Frontale,Japanese J League,1.5,1.36,49.16
179,177,Kasimpasa,Turkish Turkcell Super Lig,1.78,1.66,48.76
180,178,Spezia,Italy Serie A,1.51,1.39,48.7
181,179,Schalke 04,German 2. Bundesliga,1.66,1.54,48.61
182,181,Hamburg SV,German 2. Bundesliga,1.59,1.48,48.37
183,182,Dinamo Moscow,Russian Premier Liga,1.48,1.38,48.07
184,183,FK Austria Vienna,Austrian T-Mobile Bundesliga,1.39,1.3,47.96
185,184,Saint-Etienne,French Ligue 1,1.4,1.3,47.88
186,185,Werder Bremen,German 2. Bundesliga,1.59,1.51,47.72
187,186,FC Sheriff Tiraspol,UEFA Europa League,1.49,1.41,47.71
188,187,Besiktas,Turkish Turkcell Super Lig,1.44,1.37,47.64
189,188,St Gallen,Swiss Raiffeisen Super League,1.75,1.69,47.57
190,191,Fortaleza,Brasileiro Série A,1.18,1.09,47.54
191,189,LASK Linz,Austrian T-Mobile Bundesliga,1.49,1.42,47.54
192,180,León,Mexican Primera Division Torneo Apertura,1.45,1.38,47.51
193,190,Lokomotiv Moscow,Russian Premier Liga,1.34,1.27,47.28
194,192,Heerenveen,Dutch Eredivisie,1.47,1.41,47.1
195,193,Salernitana,Italy Serie A,1.48,1.42,47.09
196,194,Norwich,Barclays Premier League,1.47,1.42,47.05
197,195,Antwerp,Belgian Jupiler League,1.28,1.23,46.87
198,196,Sporting de Charleroi,Belgian Jupiler League,1.52,1.48,46.79
199,197,Middlesbrough,English League Championship,1.23,1.18,46.74
200,198,Velez Sarsfield,Argentina Primera Division,1.15,1.09,46.64
201,200,Silkeborg,Danish SAS-Ligaen,1.48,1.47,46.4
202,233,Urawa Red Diamonds,Japanese J League,1.21,1.18,46.28
203,201,Bordeaux,French Ligue 1,1.5,1.48,46.25
204,203,Monza,Italy Serie B,1.37,1.36,46.02
205,204,Preston North End,English League Championship,1.26,1.25,45.95
206,205,St. Truidense,Belgian Jupiler League,1.24,1.23,45.9
207,206,Anorthosis Famagusta,UEFA Europa Conference League,1.27,1.26,45.86
208,207,Galatasaray,Turkish Turkcell Super Lig,1.36,1.36,45.85
209,208,Antalyaspor,Turkish Turkcell Super Lig,1.37,1.38,45.77
210,209,Alanyaspor,Turkish Turkcell Super Lig,1.56,1.58,45.73
211,210,FK Qarabag,UEFA Europa Conference League,1.4,1.4,45.72
212,212,Krylia Sovetov,Russian Premier Liga,1.27,1.27,45.69
213,213,Boavista,Portuguese Liga,1.23,1.22,45.62
214,214,Stoke City,English League Championship,1.16,1.15,45.6
215,226,Puebla,Mexican Primera Division Torneo Apertura,1.34,1.35,45.52
216,215,AEK Athens,Greek Super League,1.34,1.35,45.47
217,216,SV Darmstadt 98,German 2. Bundesliga,1.56,1.59,45.39
218,218,Millwall,English League Championship,1.24,1.25,45.27
219,220,NEC,Dutch Eredivisie,1.42,1.46,45.12
220,224,New York Red Bulls,Major League Soccer,1.27,1.3,45.1
221,221,Konyaspor,Turkish Turkcell Super Lig,1.47,1.52,45.09
222,222,Terek Grozny,Russian Premier Liga,1.14,1.15,45.08
223,223,Atlético Goianiense,Brasileiro Série A,1.19,1.21,44.85
224,217,Kashima Antlers,Japanese J League,1.42,1.47,44.83
225,225,Portimonense,Portuguese Liga,1.16,1.18,44.74
226,211,Rosenborg,Norwegian Tippeligaen,1.55,1.62,44.61
227,227,Luton Town,English League Championship,1.17,1.2,44.59
228,228,Vizela,Portuguese Liga,1.3,1.35,44.58
229,219,América Mineiro,Brasileiro Série A,1.13,1.16,44.58
230,229,Maritimo,Portuguese Liga,1.18,1.22,44.54
231,230,Rostov,Russian Premier Liga,1.39,1.46,44.31
232,231,CSKA Sofia,UEFA Europa Conference League,1.12,1.17,44.21
233,238,Los Angeles Galaxy,Major League Soccer,1.51,1.6,44.19
234,232,Moreirense,Portuguese Liga,1.15,1.2,44.16
235,234,Huddersfield Town,English League Championship,1.13,1.18,44.13
236,235,FC Groningen,Dutch Eredivisie,1.38,1.46,44.09
237,236,Cercle Brugge,Belgian Jupiler League,1.35,1.43,44.05
238,237,Aris Salonika,Greek Super League,1.02,1.07,44.01
239,239,Blackburn,English League Championship,1.11,1.18,43.69
240,240,Estudiantes,Argentina Primera Division,1.25,1.34,43.62
241,241,Heracles,Dutch Eredivisie,1.31,1.41,43.57
242,242,Blackpool,English League Championship,1.23,1.33,43.45
243,245,CFR 1907 Cluj,UEFA Europa Conference League,1.26,1.37,43.25
244,246,Wolfsberger AC,Austrian T-Mobile Bundesliga,1.46,1.61,42.97
245,247,Argentinos Juniors,Argentina Primera Division,1.07,1.16,42.97
246,248,FC Arouca,Portuguese Liga,1.13,1.23,42.95
247,249,Almeria,Spanish Segunda Division,1.19,1.3,42.93
248,251,Estoril Praia,Portuguese Liga,1.16,1.27,42.76
249,269,Pumas Unam,Mexican Primera Division Torneo Apertura,1.22,1.35,42.67
250,252,Brondby,Danish SAS-Ligaen,1.24,1.36,42.67
251,263,Djurgardens IF,Swedish Allsvenskan,1.31,1.45,42.64
252,253,Guangzhou Evergrande,Chinese Super League,1.43,1.59,42.61
253,293,Austin FC,Major League Soccer,1.43,1.59,42.5
254,254,Omonia Nicosia,UEFA Europa Conference League,1.32,1.47,42.46
255,243,New England Revolution,Major League Soccer,1.48,1.66,42.34
256,256,Hearts,Scottish Premiership,1.28,1.44,42.27
257,257,PEC Zwolle,Dutch Eredivisie,1.31,1.47,42.13
258,273,Cerezo Osaka,Japanese J League,1.29,1.45,42.06
259,258,Adana Demirspor,Turkish Turkcell Super Lig,1.3,1.47,42
260,260,Pacos Ferreira,Portuguese Liga,1.08,1.22,41.95
261,261,Sivasspor,Turkish Turkcell Super Lig,1.3,1.47,41.94
262,262,Venezia,Italy Serie A,1.41,1.6,41.89
263,295,Hammarby,Swedish Allsvenskan,1.4,1.59,41.75
264,266,Ludogorets,UEFA Europa League,1.29,1.46,41.74
265,267,Talleres de Córdoba,Argentina Primera Division,1.15,1.3,41.74
266,244,Lillestrom,Norwegian Tippeligaen,1.34,1.53,41.73
267,268,Real Valladolid,Spanish Segunda Division,1.24,1.41,41.72
268,284,Atlético San Luis,Mexican Primera Division Torneo Apertura,1.26,1.44,41.7
269,271,Union Santa Fe,Argentina Primera Division,1.04,1.19,41.6
270,272,Cardiff City,English League Championship,1.06,1.21,41.5
271,265,Nashville SC,Major League Soccer,1.25,1.44,41.46
272,288,Viking FK,Norwegian Tippeligaen,1.44,1.66,41.45
273,285,Cuiaba,Brasileiro Série A,1.01,1.15,41.43
274,274,Girona FC,Spanish Segunda Division,1.04,1.2,41.38
275,275,Lanus,Argentina Primera Division,1.36,1.57,41.35
276,301,Colorado Rapids,Major League Soccer,1.31,1.51,41.31
277,259,Botafogo,Brasileiro Série A,1.1,1.28,41.24
278,276,Metz,French Ligue 1,1.15,1.33,41.2
279,305,Portland Timbers,Major League Soccer,1.46,1.69,41.15
280,278,Ural Sverdlovsk Oblast,Russian Premier Liga,1,1.16,41.11
281,279,Queens Park Rangers,English League Championship,1.16,1.35,41.06
282,280,Lecce,Italy Serie B,1.1,1.28,41
283,281,CA Independiente,Argentina Primera Division,1.02,1.19,40.97
284,282,RKC,Dutch Eredivisie,1.32,1.55,40.92
285,264,Columbus Crew,Major League Soccer,1.28,1.49,40.91
286,304,Necaxa,Mexican Primera Division Torneo Apertura,1.16,1.37,40.81
287,270,Coritiba,Brasileiro Série A,1.22,1.43,40.77
288,250,Atlanta United FC,Major League Soccer,1.37,1.6,40.73
289,283,Auxerre,French Ligue 2,1.19,1.4,40.72
290,286,Sparta,Dutch Eredivisie,1.21,1.43,40.68
291,287,Slovan Bratislava,UEFA Europa Conference League,1.16,1.37,40.52
292,255,Seattle Sounders FC,Major League Soccer,1.26,1.5,40.4
293,289,Benevento,Italy Serie B,1.14,1.36,40.2
294,291,Banfield,Argentina Primera Division,1.01,1.22,40.1
295,292,Huracán,Argentina Primera Division,1.02,1.24,40.05
296,277,FC Dallas,Major League Soccer,1.31,1.58,39.89
297,322,Malmo FF,Swedish Allsvenskan,1.18,1.43,39.82
298,294,IF Elfsborg,Swedish Allsvenskan,1.39,1.69,39.62
299,290,Sanfrecce Hiroshima,Japanese J League,1.12,1.38,39.56
300,297,Go Ahead Eagles,Dutch Eredivisie,1.23,1.51,39.52
301,298,Bristol City,English League Championship,1.28,1.57,39.49
302,299,AaB,Danish SAS-Ligaen,1.33,1.62,39.45
303,300,KV Mechelen,Belgian Jupiler League,1.45,1.77,39.4
304,302,Minnesota United FC,Major League Soccer,1.33,1.64,39.36
305,303,FC Luzern,Swiss Raiffeisen Super League,1.42,1.74,39.29
306,296,Montreal Impact,Major League Soccer,1.31,1.61,39.28
307,307,FC Khimki,Russian Premier Liga,1.14,1.41,39.27
308,310,Willem II,Dutch Eredivisie,1.21,1.5,39.14
309,311,Derby County,English League Championship,1.01,1.27,39.04
310,312,Beijing Guoan,Chinese Super League,1.33,1.64,39.02
311,313,Fortuna Düsseldorf,German 2. Bundesliga,1.14,1.43,38.95
312,314,Paris FC,French Ligue 2,1.08,1.36,38.84
313,315,Parma,Italy Serie B,1.08,1.36,38.77
314,316,Brescia,Italy Serie B,1.08,1.36,38.73
315,317,Goiás,Brasileiro Série A,1.11,1.41,38.66
316,318,Shanghai SIPG,Chinese Super League,1.25,1.57,38.6
317,328,Juventude,Brasileiro Série A,1.04,1.33,38.36
318,320,FC Zorya Luhansk,UEFA Europa Conference League,1.1,1.41,38.34
319,321,Central Córdoba Santiago del Estero,Argentina Primera Division,1.05,1.35,38.26
320,323,Swansea City,English League Championship,1.21,1.56,38.09
321,324,Randers FC,Danish SAS-Ligaen,1.14,1.47,37.98
322,330,Vissel Kobe,Japanese J League,1.11,1.44,37.89
323,326,Fatih Karagümrük,Turkish Turkcell Super Lig,1.13,1.46,37.85
324,325,Mazatlán FC,Mexican Primera Division Torneo Apertura,1.12,1.45,37.84
325,327,Guingamp,French Ligue 2,1.18,1.53,37.77
